代码,简称,日期,前收盘价,开盘价,最高价,最低价,收盘价,成交量(股),成交金额(元),涨跌,涨跌幅(%),
DJI.GI,道琼斯工业指数,2000-01-04,11497.12,11501.85,11350.06,10986.45,10997.94,178416496,--,-499.18,-4.3418,
DJI.GI,道琼斯工业指数,2000-01-05,10997.94,10989.37,11215.1,10938.67,11122.66,203188400,--,124.72,1.134,
DJI.GI,道琼斯工业指数,2000-01-06,11122.66,11113.37,11313.45,11098.45,11253.27,176549600,--,130.61,1.1743,
DJI.GI,道琼斯工业指数,2000-01-07,11253.27,11247.06,11528.14,11239.92,11522.56,184903104,--,269.29,2.393,
DJI.GI,道琼斯工业指数,2000-01-10,11522.56,11532.48,11638.28,11532.48,11572.2,168181792,--,49.64,0.4308,
DJI.GI,道琼斯工业指数,2000-01-11,11572.2,11568.47,11663.1,11502.7,11511.09,177298800,--,-61.11,-0.5281,
DJI.GI,道琼斯工业指数,2000-01-12,11511.09,11506.73,11612.53,11505.18,11551.11,194053696,--,40.02,0.3477,
DJI.GI,道琼斯工业指数,2000-01-13,11551.11,11558.24,11656.58,11524.11,11582.44,174910096,--,31.33,0.2712,
DJI.GI,道琼斯工业指数,2000-01-14,11582.44,11619.35,11750.28,11612.53,11722.98,238618800,--,140.54,1.2134,
DJI.GI,道琼斯工业指数,2000-01-18,11722.98,11719.19,11720.12,11546.45,11560.73,200219296,--,-162.25,-1.384,
DJI.GI,道琼斯工业指数,2000-01-19,11560.73,11535.24,11574.68,11456.01,11489.37,193091696,--,-71.36,-0.6173,
DJI.GI,道琼斯工业指数,2000-01-20,11489.37,11490.29,11558.7,11274.98,11351.3,191229904,--,-138.07,-1.2017,
DJI.GI,道琼斯工业指数,2000-01-21,11351.3,11356.26,11387.6,11232.48,11251.72,205844800,--,-99.58,-0.8773,
DJI.GI,道琼斯工业指数,2000-01-24,11251.72,11251.94,11366.5,10917.27,11008.17,202742000,--,-243.55,-2.1646,
DJI.GI,道琼斯工业指数,2000-01-25,11008.17,11010.96,11079.52,10883.45,11029.89,209226800,--,21.72,0.1973,
DJI.GI,道琼斯工业指数,2000-01-26,11029.89,11025.85,11131.03,11002.58,11032.99,188844896,--,3.1,0.0281,
DJI.GI,道琼斯工业指数,2000-01-27,11032.99,11035.55,11164.14,10915.4,11028.03,194277904,--,-4.96,-0.045,
DJI.GI,道琼斯工业指数,2000-01-28,11028.03,11024.92,11024.92,10735.77,10738.88,183093200,--,-289.15,-2.622,
DJI.GI,道琼斯工业指数,2000-02-14,10738.88,10735.77,10549,10430.8,10519.85,167241904,--,-219.03,-2.0396,
DJI.GI,道琼斯工业指数,2000-02-15,10519.85,10520.15,10763.07,10494.48,10718.1,183317792,--,198.25,1.8845,
DJI.GI,道琼斯工业指数,2000-02-16,10718.1,10711.82,10741.67,10561.41,10561.42,163283600,--,-156.68,-1.4618,
DJI.GI,道琼斯工业指数,2000-02-17,10561.42,10565.76,10671.86,10454.61,10514.57,195829408,--,-46.85,-0.4436,
DJI.GI,道琼斯工业指数,2000-02-18,10514.57,10514.57,10517.75,10199.98,10219.53,208932000,--,-295.04,-2.806,
DJI.GI,道琼斯工业指数,2000-02-22,10219.53,10219.83,10336.79,10103.8,10304.85,194343808,--,85.32,0.8349,
DJI.GI,道琼斯工业指数,2000-02-23,10304.85,10294.82,10338.35,10164.92,10225.73,185278896,--,-79.12,-0.7678,
DJI.GI,道琼斯工业指数,2000-02-24,10225.73,10242.48,10248.06,9942.78,10092.64,237535008,--,-133.09,-1.3015,
DJI.GI,道琼斯工业指数,2000-02-25,10092.64,10090.77,10132.42,9836.06,9862.12,195243104,--,-230.52,-2.284,
DJI.GI,道琼斯工业指数,2000-02-28,9862.12,9854.66,10156.54,9842.57,10038.66,213231296,--,176.54,1.7901,
DJI.GI,道琼斯工业指数,2000-02-29,10038.66,10039.58,10204.94,10029.96,10128.31,191362704,--,89.65,0.893,
DJI.GI,道琼斯工业指数,2000-03-01,10128.31,10128.11,10186.33,10084.56,10137.93,216776800,--,9.62,0.095,
DJI.GI,道琼斯工业指数,2000-03-02,10137.93,10135.44,10212.39,10103.49,10164.92,206512192,--,26.99,0.2662,
DJI.GI,道琼斯工业指数,2000-03-03,10164.92,10171.12,10443.52,10171.12,10367.2,210456608,--,202.28,1.99,
DJI.GI,道琼斯工业指数,2000-03-06,10367.2,10358.96,10383.95,10121.48,10170.51,172587696,--,-196.69,-1.8972,
DJI.GI,道琼斯工业指数,2000-03-07,10170.51,10197.61,10229.14,9752.68,9796.04,278179904,--,-374.47,-3.6819,
DJI.GI,道琼斯工业指数,2000-03-08,9796.04,9800.69,9918.89,9731.81,9856.54,223308800,--,60.5,0.6176,
DJI.GI,道琼斯工业指数,2000-03-09,9856.54,9855.29,10010.73,9738.95,10010.73,187359696,--,154.19,1.5643,
DJI.GI,道琼斯工业指数,2000-03-10,10010.73,10008.55,10091.39,9907.26,9928.83,197442704,--,-81.9,-0.8181,
DJI.GI,道琼斯工业指数,2000-03-13,9928.83,9911.22,9998.55,9735.54,9947.13,186205104,--,18.3,0.1843,
DJI.GI,道琼斯工业指数,2000-03-14,9947.13,9957.67,10043.3,9811.24,9811.24,186080608,--,-135.89,-1.3661,
DJI.GI,道琼斯工业指数,2000-03-15,9811.24,9808.15,10180.2,9776.49,10131.42,204920992,--,320.18,3.2634,
DJI.GI,道琼斯工业指数,2000-03-16,10131.42,10139.58,10632.46,10138.34,10630.61,253790800,--,499.19,4.9271,
DJI.GI,道琼斯工业指数,2000-03-17,10630.61,10629.98,10763.38,10567.31,10595.24,247831808,--,-35.37,-0.3327,
DJI.GI,道琼斯工业指数,2000-03-20,10595.24,10594.75,10727.71,10586.99,10680.25,177732192,--,85.01,0.8023,
DJI.GI,道琼斯工业指数,2000-03-21,10680.25,10680.24,10907.35,10603.61,10907.35,211954896,--,227.1,2.1264,
DJI.GI,道琼斯工业指数,2000-03-22,10907.35,10916.96,10917.27,10789.13,10866.7,195827104,--,-40.65,-0.3727,
DJI.GI,道琼斯工业指数,2000-03-23,10866.7,10884.38,11136.61,10831.02,11119.86,224705104,--,253.16,2.3297,
DJI.GI,道琼斯工业指数,2000-03-24,11119.86,11107.45,11234.65,11045.09,11112.73,217135200,--,-7.13,-0.0641,
DJI.GI,道琼斯工业指数,2000-03-27,11112.73,11093.25,11170.82,10982.73,11025.86,184880400,--,-86.87,-0.7817,
DJI.GI,道琼斯工业指数,2000-03-28,11025.86,11023.68,11094.34,10932.78,10936.12,177781296,--,-89.74,-0.8139,
DJI.GI,道琼斯工业指数,2000-03-29,10936.12,10939.05,11101.55,10910.75,11018.72,199366000,--,82.6,0.7553,
DJI.GI,道琼斯工业指数,2000-03-30,11018.72,11008.17,11144.06,10916.34,10980.25,214185600,--,-38.47,-0.3491,
