代码,简称,日期,前收盘价,开盘价,最高价,最低价,收盘价,成交量(股),成交金额(元),涨跌,涨跌幅(%),
HSI.HI,恒生指数,2000-01-04,16962.1,17057.7,17303,16933.52,17072.82,--,--,110.72,0.6527,
HSI.HI,恒生指数,2000-01-05,17072.82,16608.55,16608.55,15688.49,15846.72,--,--,-1226.1,-7.1816,
HSI.HI,恒生指数,2000-01-06,15846.72,15942.07,15971.03,14763.97,15153.23,--,--,-693.49,-4.3762,
HSI.HI,恒生指数,2000-01-07,15153.23,15329.34,15513.89,15108.75,15405.63,--,--,252.4,1.6657,
HSI.HI,恒生指数,2000-01-10,15405.63,15631,16065.09,15631,15848.15,--,--,442.52,2.8725,
HSI.HI,恒生指数,2000-01-11,15848.15,15981.13,16196.09,15736.17,15862.1,--,--,13.95,0.088,
HSI.HI,恒生指数,2000-01-12,15862.1,15691.73,15744.04,15545.67,15714.2,--,--,-147.9,-0.9324,
HSI.HI,恒生指数,2000-01-13,15714.2,15763.26,15861.17,15458.63,15633.96,--,--,-80.24,-0.5106,
HSI.HI,恒生指数,2000-01-14,15633.96,15741.54,15863.48,15322.19,15542.23,--,--,-91.73,-0.5867,
HSI.HI,恒生指数,2000-01-17,15542.23,15666.06,15827.51,15474.39,15574.56,--,--,32.33,0.208,
HSI.HI,恒生指数,2000-01-18,15574.56,15575.68,15801.07,15508.08,15789.2,--,--,214.64,1.3781,
HSI.HI,恒生指数,2000-01-19,15789.2,15719.04,15719.04,15192.28,15275.34,--,--,-513.86,-3.2545,
HSI.HI,恒生指数,2000-01-20,15275.34,15347.7,15347.7,15078.03,15215.31,--,--,-60.03,-0.393,
HSI.HI,恒生指数,2000-01-21,15215.31,15094.9,15120.36,14903.7,15108.41,--,--,-106.9,-0.7026,
HSI.HI,恒生指数,2000-01-24,15108.41,15233.79,15413.75,15020.17,15167.55,--,--,59.14,0.3914,
HSI.HI,恒生指数,2000-01-25,15167.55,15093.53,15150.22,14910.29,15103.04,--,--,-64.51,-0.4253,
HSI.HI,恒生指数,2000-01-26,15103.04,15164.8,15452.72,15164.8,15427.72,--,--,324.68,2.1498,
HSI.HI,恒生指数,2000-01-27,15427.72,15460.21,15925.18,15460.21,15917.81,--,--,490.09,3.1767,
HSI.HI,恒生指数,2000-01-28,15917.81,16052.07,16315.74,16023.37,16185.94,--,--,268.13,1.6845,
HSI.HI,恒生指数,2000-02-14,16185.94,15889.05,17939.27,17107.9,17188.96,--,--,1003.02,6.1969,
HSI.HI,恒生指数,2000-02-15,17188.96,17257.37,17296.97,16548.75,16688.16,--,--,-500.8,-2.9135,
HSI.HI,恒生指数,2000-02-16,16688.16,16771.1,17144.95,16732.81,17043.39,--,--,355.23,2.1286,
HSI.HI,恒生指数,2000-02-17,17043.39,17075.9,17229.15,16770.14,16981.23,--,--,-62.16,-0.3647,
HSI.HI,恒生指数,2000-02-18,16981.23,16985.3,17027.95,16468.95,16599.16,--,--,-382.07,-2.25,
HSI.HI,恒生指数,2000-02-21,16599.16,16412.63,16477.1,16136.5,16322.37,--,--,-276.79,-1.6675,
HSI.HI,恒生指数,2000-02-22,16322.37,16294.94,16442.58,15776.35,16255.17,--,--,-67.2,-0.4117,
HSI.HI,恒生指数,2000-02-23,16255.17,16313.96,16523.65,16297.13,16376.79,--,--,121.62,0.7482,
HSI.HI,恒生指数,2000-02-24,16376.79,16512.57,17083.3,16512.57,17058.66,--,--,681.87,4.1636,
HSI.HI,恒生指数,2000-02-25,17058.66,17279.51,17414.46,16905.4,17200.98,--,--,142.32,0.8343,
HSI.HI,恒生指数,2000-02-28,17200.98,17434.72,17746.77,16638.46,16984.44,--,--,-216.54,-1.2589,
HSI.HI,恒生指数,2000-02-29,16984.44,17140.21,17290.07,17021.72,17169.44,--,--,185,1.0892,
HSI.HI,恒生指数,2000-03-01,17169.44,17267.27,17275.44,16617.95,16843.59,--,--,-325.85,-1.8978,
HSI.HI,恒生指数,2000-03-02,16843.59,16996.06,17118.4,16769.57,16936.81,--,--,93.22,0.5534,
HSI.HI,恒生指数,2000-03-03,16936.81,16903.55,17361.92,16795.8,17285.24,--,--,348.43,2.0572,
HSI.HI,恒生指数,2000-03-06,17285.24,17500.97,17855.21,17500.97,17758.76,--,--,473.52,2.7394,
HSI.HI,恒生指数,2000-03-07,17758.76,17656.47,17876.78,17471.74,17865.36,--,--,106.6,0.6003,
HSI.HI,恒生指数,2000-03-08,17865.36,17687.58,18058.97,17323.76,17951.43,--,--,86.07,0.4818,
HSI.HI,恒生指数,2000-03-09,17951.43,18031.78,18249.86,17613.8,17637.03,--,--,-314.4,-1.7514,
HSI.HI,恒生指数,2000-03-10,17637.03,17727.96,18001.54,17574.06,17831.86,--,--,194.83,1.1047,
HSI.HI,恒生指数,2000-03-13,17831.86,17650.62,17786.28,16892.65,17096.68,--,--,-735.18,-4.1228,
HSI.HI,恒生指数,2000-03-14,17096.68,17125.9,17220.26,16837.02,16929.16,--,--,-167.52,-0.9798,
HSI.HI,恒生指数,2000-03-15,16929.16,16847.3,16901.31,16553.17,16747.2,--,--,-181.96,-1.0748,
HSI.HI,恒生指数,2000-03-16,16747.2,16775.23,16826.25,16315.04,16359,--,--,-388.2,-2.318,
HSI.HI,恒生指数,2000-03-17,16359,16688.04,17096,16617.18,17082.99,--,--,723.99,4.4256,
HSI.HI,恒生指数,2000-03-20,17082.99,16878.81,17325.15,16708.72,17234.46,--,--,151.47,0.8867,
HSI.HI,恒生指数,2000-03-21,17234.46,17253.04,17345.71,16896.7,17199.98,--,--,-34.48,-0.2001,
HSI.HI,恒生指数,2000-03-22,17199.98,17418.91,17560.69,17274.56,17547.04,--,--,347.06,2.0178,
HSI.HI,恒生指数,2000-03-23,17547.04,17705.26,17856.36,17391.97,17715.58,--,--,168.54,0.9605,
HSI.HI,恒生指数,2000-03-24,17715.58,17768.06,17879.37,17577.71,17784.57,--,--,68.99,0.3894,
HSI.HI,恒生指数,2000-03-27,17784.57,17827.71,18350.61,17815.68,18292.86,--,--,508.29,2.858,
HSI.HI,恒生指数,2000-03-28,18292.86,18272.8,18397.57,18188.27,18301.69,--,--,8.83,0.0483,
HSI.HI,恒生指数,2000-03-29,18301.69,18203.13,18249.27,17950.2,18096.37,--,--,-205.32,-1.1219,
HSI.HI,恒生指数,2000-03-30,18096.37,18011.14,18038.47,17456.56,17467.15,--,--,-629.22,-3.4771,
HSI.HI,恒生指数,2000-03-31,17467.15,17383.63,17537.13,17107.44,17406.54,--,--,-60.61,-0.347,
HSI.HI,恒生指数,2000-04-03,17406.54,17444.48,17458.06,16872.82,16892.93,--,--,-513.61,-2.9507,
HSI.HI,恒生指数,2000-04-05,16892.93,16599.07,16736.22,16246.53,16318.44,--,--,-574.49,-3.4008,
HSI.HI,恒生指数,2000-04-06,16318.44,16416.48,16528.58,16283.2,16491.39,--,--,172.95,1.0598,
HSI.HI,恒生指数,2000-04-07,16491.39,16657.84,16992.53,16657.84,16941.68,--,--,450.29,2.7305,
HSI.HI,恒生指数,2000-04-10,16941.68,17038.22,17083.27,16676.07,16850.74,--,--,-90.94,-0.5368,
HSI.HI,恒生指数,2000-04-11,16850.74,16683.4,16683.4,16422.27,16487.66,--,--,-363.08,-2.1547,
HSI.HI,恒生指数,2000-04-12,16487.66,16391.12,16762.86,16267.72,16577.09,--,--,89.43,0.5424,
HSI.HI,恒生指数,2000-04-13,16577.09,16345.26,16470.38,16043.85,16352.56,--,--,-224.53,-1.3545,
HSI.HI,恒生指数,2000-04-14,16352.56,16254.26,16270.77,15906.29,16142.76,--,--,-209.8,-1.283,
HSI.HI,恒生指数,2000-04-17,16142.76,15306.05,15306.05,14624.33,14762.37,--,--,-1380.39,-8.5511,
HSI.HI,恒生指数,2000-04-18,14762.37,15158.15,15409.67,15158.15,15278.32,--,--,515.95,3.495,
HSI.HI,恒生指数,2000-04-19,15278.32,15558.52,15667.16,15338.1,15427.2,--,--,148.88,0.9745,
HSI.HI,恒生指数,2000-04-20,15427.2,15425.82,15453.65,15213.02,15367.14,--,--,-60.06,-0.3893,
HSI.HI,恒生指数,2000-04-25,15367.14,15335.89,15531.21,15212.92,15380.01,--,--,12.87,0.0838,
HSI.HI,恒生指数,2000-04-26,15380.01,15581.45,15629.52,15140.35,15227.39,--,--,-152.62,-0.9923,
HSI.HI,恒生指数,2000-04-27,15227.39,15225.17,15253.52,15068.66,15192.87,--,--,-34.52,-0.2267,
HSI.HI,恒生指数,2000-04-28,15192.87,15291.06,15541.37,15291.06,15519.3,--,--,326.43,2.1486,
HSI.HI,恒生指数,2000-05-08,15519.3,15751.03,15443.33,14827.36,14901,--,--,-618.3,-3.9841,
HSI.HI,恒生指数,2000-05-09,14901,14854.64,14854.64,14644.61,14776.9,--,--,-124.1,-0.8328,
HSI.HI,恒生指数,2000-05-10,14776.9,14652.66,14681.06,14380.78,14492.92,--,--,-283.98,-1.9218,
HSI.HI,恒生指数,2000-05-12,14492.92,14438.67,15168.48,14288.33,15111.94,--,--,619.02,4.2712,
HSI.HI,恒生指数,2000-05-15,15111.94,15117.75,15165.69,14835.8,14881.3,--,--,-230.64,-1.5262,
HSI.HI,恒生指数,2000-05-16,14881.3,14961.52,15184.33,14806.26,15160.29,--,--,278.99,1.8748,
HSI.HI,恒生指数,2000-05-17,15160.29,15293.26,15293.26,14721.4,14827.81,--,--,-332.48,-2.1931,
HSI.HI,恒生指数,2000-05-18,14827.81,14688.74,14688.74,14210.49,14322.6,--,--,-505.21,-3.4072,
HSI.HI,恒生指数,2000-05-19,14322.6,14338.75,14699.42,14166.36,14478.26,--,--,155.66,1.0868,
HSI.HI,恒生指数,2000-05-22,14478.26,14278.51,14278.51,13981.44,14140.73,--,--,-337.53,-2.3313,
HSI.HI,恒生指数,2000-05-23,14140.73,14117.13,14311.7,13980.94,14257.18,--,--,116.45,0.8235,
HSI.HI,恒生指数,2000-05-24,14257.18,14115.54,14115.54,13878.63,13933.98,--,--,-323.2,-2.2669,
HSI.HI,恒生指数,2000-05-25,13933.98,14082.05,14250.71,13852.86,13921.06,--,--,-12.92,-0.0927,
HSI.HI,恒生指数,2000-05-26,13921.06,13845.44,13845.44,13596.63,13722.7,--,--,-198.36,-1.4249,
HSI.HI,恒生指数,2000-05-29,13722.7,13735.07,14024.15,13606.19,13975.07,--,--,252.37,1.8391,
HSI.HI,恒生指数,2000-05-30,13975.07,14044.04,14181.49,13734.6,13990.9,--,--,15.83,0.1133,
HSI.HI,恒生指数,2000-05-31,13990.9,14438.39,14913.25,14438.39,14713.86,--,--,722.96,5.1674,
HSI.HI,恒生指数,2000-06-01,14713.86,14652.9,15002.53,14652.9,14941.19,--,--,227.33,1.545,
HSI.HI,恒生指数,2000-06-02,14941.19,15165.58,15344.13,15142.95,15284.1,--,--,342.91,2.2951,
HSI.HI,恒生指数,2000-06-05,15284.1,15643.79,15971.24,15643.79,15861.68,--,--,577.58,3.779,
HSI.HI,恒生指数,2000-06-07,15861.68,15782.87,16033.87,15668.12,15900.06,--,--,38.38,0.242,
HSI.HI,恒生指数,2000-06-08,15900.06,15912.21,15980.94,15786.36,15876.93,--,--,-23.13,-0.1455,
HSI.HI,恒生指数,2000-06-09,15876.93,15841.19,16154.8,15723.33,16120.26,--,--,243.33,1.5326,
HSI.HI,恒生指数,2000-06-12,16120.26,16125.75,16250.64,16047.52,16055.05,--,--,-65.21,-0.4045,
HSI.HI,恒生指数,2000-06-13,16055.05,15947.87,15947.87,15657.82,15692.94,--,--,-362.11,-2.2554,
HSI.HI,恒生指数,2000-06-14,15692.94,15761.43,15887.78,15621.3,15857.07,--,--,164.13,1.0459,
HSI.HI,恒生指数,2000-06-15,15857.07,15941.82,16222.51,15894.7,16080.34,--,--,223.27,1.408,
HSI.HI,恒生指数,2000-06-16,16080.34,16088.74,16483.91,16002.28,16434.38,--,--,354.04,2.2017,
HSI.HI,恒生指数,2000-06-19,16434.38,16332.69,16364.21,16168.79,16267.47,--,--,-166.91,-1.0156,
HSI.HI,恒生指数,2000-06-20,16267.47,16467.14,16525.02,15968.66,16086.74,--,--,-180.73,-1.111,
HSI.HI,恒生指数,2000-06-21,16086.74,16071.19,16338.91,15935.53,16238.14,--,--,151.4,0.9411,
HSI.HI,恒生指数,2000-06-22,16238.14,16227.47,16266.46,15860.97,15952.36,--,--,-285.78,-1.7599,
HSI.HI,恒生指数,2000-06-23,15952.36,15827.28,15904.39,15667.35,15738.08,--,--,-214.28,-1.3432,
HSI.HI,恒生指数,2000-06-26,15738.08,15726.12,16048.69,15644.61,15978.91,--,--,240.83,1.5302,
HSI.HI,恒生指数,2000-06-27,15978.91,16147.14,16274.23,16031.58,16155.77,--,--,176.86,1.1068,
HSI.HI,恒生指数,2000-06-28,16155.77,16202.16,16511.24,16132.53,16438.42,--,--,282.65,1.7495,
HSI.HI,恒生指数,2000-06-29,16438.42,16474.4,16534.48,16226.56,16286.8,--,--,-151.62,-0.9224,
HSI.HI,恒生指数,2000-06-30,16286.8,16142.35,16310.05,16015.52,16155.78,--,--,-131.02,-0.8045,
HSI.HI,恒生指数,2000-07-03,16155.78,16177.06,16179.9,15928.92,16124.97,--,--,-30.81,-0.1907,
HSI.HI,恒生指数,2000-07-04,16124.97,16131.77,16242.3,16086.26,16235.76,--,--,110.79,0.6871,
HSI.HI,恒生指数,2000-07-05,16235.76,16275.33,16540.64,16275.33,16474.27,--,--,238.51,1.469,
HSI.HI,恒生指数,2000-07-06,16474.27,16396.08,16681.34,16365.66,16489.59,--,--,15.32,0.093,
HSI.HI,恒生指数,2000-07-07,16489.59,16631.86,16861.58,16565.39,16829.96,--,--,340.37,2.0642,
HSI.HI,恒生指数,2000-07-10,16829.96,17024.46,17274.02,17024.46,17238.67,--,--,408.71,2.4285,
HSI.HI,恒生指数,2000-07-11,17238.67,17259.95,17380.59,17126.45,17359.66,--,--,120.99,0.7019,
HSI.HI,恒生指数,2000-07-12,17359.66,17466.98,17667.49,17451.62,17552.26,--,--,192.6,1.1095,
HSI.HI,恒生指数,2000-07-13,17552.26,17808.7,17834.95,17413.27,17449.5,--,--,-102.76,-0.5855,
HSI.HI,恒生指数,2000-07-14,17449.5,17508.62,17643.81,17372.63,17586.16,--,--,136.66,0.7832,
HSI.HI,恒生指数,2000-07-17,17586.16,17736.62,17913.48,17729.99,17834.78,--,--,248.62,1.4137,
HSI.HI,恒生指数,2000-07-18,17834.78,17766.46,17766.46,17404.05,17440.83,--,--,-393.95,-2.2089,
HSI.HI,恒生指数,2000-07-19,17440.83,17462.12,17730.57,17388.63,17710.07,--,--,269.24,1.5437,
HSI.HI,恒生指数,2000-07-20,17710.07,17702.69,17818.56,17518.69,17758.51,--,--,48.44,0.2735,
HSI.HI,恒生指数,2000-07-21,17758.51,18022.81,18125.57,17765.49,17920.86,--,--,162.35,0.9142,
HSI.HI,恒生指数,2000-07-24,17920.86,17866.28,18028.65,17638.55,17659.69,--,--,-261.17,-1.4574,
HSI.HI,恒生指数,2000-07-25,17659.69,17574.32,17574.32,17306.89,17375.34,--,--,-284.35,-1.6102,
HSI.HI,恒生指数,2000-07-26,17375.34,17476.42,17730.09,17476.42,17620.23,--,--,244.89,1.4094,
HSI.HI,恒生指数,2000-07-27,17620.23,17442.11,17463.29,17285.87,17450.09,--,--,-170.14,-0.9656,
HSI.HI,恒生指数,2000-07-28,17450.09,17429.73,17429.73,16994.37,17183.93,--,--,-266.16,-1.5253,
HSI.HI,恒生指数,2000-07-31,17183.93,16977.7,16981.83,16729.98,16840.98,--,--,-342.95,-1.9958,
HSI.HI,恒生指数,2000-08-01,16840.98,17014.44,17133.09,16787.46,16897.45,--,--,56.47,0.3353,
HSI.HI,恒生指数,2000-08-02,16897.45,16899.22,17322.2,16866.15,17277.39,--,--,379.94,2.2485,
HSI.HI,恒生指数,2000-08-03,17277.39,17272.44,17379.66,17171.84,17274.28,--,--,-3.11,-0.018,
HSI.HI,恒生指数,2000-08-04,17274.28,17330.59,17555.2,17330.59,17425.7,--,--,151.42,0.8766,
HSI.HI,恒生指数,2000-08-07,17425.7,17538.81,17761.95,17538.81,17727.25,--,--,301.55,1.7305,
HSI.HI,恒生指数,2000-08-08,17727.25,17728.41,17759.59,17179.75,17211.84,--,--,-515.41,-2.9074,
HSI.HI,恒生指数,2000-08-09,17211.84,17306.19,17446.67,16951.04,17181.99,--,--,-29.85,-0.1734,
HSI.HI,恒生指数,2000-08-10,17181.99,17234.58,17417.89,17149.69,17333.21,--,--,151.22,0.8801,
HSI.HI,恒生指数,2000-08-11,17333.21,17363.61,17363.61,17144.66,17214.42,--,--,-118.79,-0.6853,
HSI.HI,恒生指数,2000-08-14,17214.42,17245.34,17296.2,16945.44,16998.06,--,--,-216.36,-1.2569,
HSI.HI,恒生指数,2000-08-15,16998.06,17029.72,17536.42,17029.72,17463.53,--,--,465.47,2.7384,
HSI.HI,恒生指数,2000-08-16,17463.53,17440.43,17794.32,17408.18,17734.15,--,--,270.62,1.5496,
HSI.HI,恒生指数,2000-08-17,17734.15,17710.43,17784.65,17560.24,17622.01,--,--,-112.14,-0.6323,
HSI.HI,恒生指数,2000-08-18,17622.01,17698.36,17717.77,17359.01,17440,--,--,-182.01,-1.0329,
HSI.HI,恒生指数,2000-08-21,17440,17432.42,17596.31,17334.93,17501.48,--,--,61.48,0.3525,
HSI.HI,恒生指数,2000-08-22,17501.48,17568.11,17724.82,17481.64,17668.28,--,--,166.8,0.9531,
HSI.HI,恒生指数,2000-08-23,17668.28,17709.08,17785.08,17386.87,17427.4,--,--,-240.88,-1.3633,
HSI.HI,恒生指数,2000-08-24,17427.4,17463.33,17548.53,17331.7,17439.7,--,--,12.3,0.0706,
HSI.HI,恒生指数,2000-08-25,17439.7,17348.12,17441.3,17058.34,17236.74,--,--,-202.96,-1.1638,
HSI.HI,恒生指数,2000-08-28,17236.74,17220.79,17265.78,17015.02,17019.76,--,--,-216.98,-1.2588,
HSI.HI,恒生指数,2000-08-29,17019.76,17062.01,17390.48,17062.01,17240.11,--,--,220.35,1.2947,
HSI.HI,恒生指数,2000-08-30,17240.11,17211.35,17302.63,16929.64,17095.88,--,--,-144.23,-0.8366,
HSI.HI,恒生指数,2000-08-31,17095.88,17070.63,17263.01,16957.23,17097.51,--,--,1.63,0.0095,
