代码,简称,日期,前收盘价,开盘价,最高价,最低价,收盘价,成交量(股),成交金额(元),涨跌,涨跌幅(%),
IXIC.GI,纳斯达克指数,2000-01-04,4069.31,4186.19,4073.25,3898.23,3901.69,1159511936,--,-167.62,-4.1191,
IXIC.GI,纳斯达克指数,2000-01-05,3901.69,3854.35,3924.21,3734.87,3877.54,1301037184,--,-24.15,-0.619,
IXIC.GI,纳斯达克指数,2000-01-06,3877.54,3834.44,3868.76,3715.62,3727.13,1178907136,--,-150.41,-3.879,
IXIC.GI,纳斯达克指数,2000-01-07,3727.13,3711.09,3882.67,3711.09,3882.62,1207553024,--,155.49,4.1718,
IXIC.GI,纳斯达克指数,2000-01-10,3882.62,4002.23,4072.36,3958.83,4049.67,1250857984,--,167.05,4.3025,
IXIC.GI,纳斯达克指数,2000-01-11,4049.67,4031.38,4066.66,3904.82,3921.19,1270010752,--,-128.48,-3.1726,
IXIC.GI,纳斯达克指数,2000-01-12,3921.19,3950.95,3950.98,3834.53,3850.02,1146215808,--,-71.17,-1.815,
IXIC.GI,纳斯达克指数,2000-01-13,3850.02,3915.14,3957.47,3858.22,3957.21,1057586560,--,107.19,2.7841,
IXIC.GI,纳斯达克指数,2000-01-14,3957.21,4045.72,4091.95,4045.72,4064.27,1263584128,--,107.06,2.7054,
IXIC.GI,纳斯达克指数,2000-01-18,4064.27,4059.65,4148,4053.21,4130.81,1175298176,--,66.54,1.6372,
IXIC.GI,纳斯达克指数,2000-01-19,4130.81,4116.27,4164.65,4084.73,4151.29,1232967040,--,20.48,0.4958,
IXIC.GI,纳斯达克指数,2000-01-20,4151.29,4205.06,4227.35,4143.61,4189.51,1381562880,--,38.22,0.9207,
IXIC.GI,纳斯达克指数,2000-01-21,4189.51,4236.65,4238,4168.3,4235.4,1408870272,--,45.89,1.0954,
IXIC.GI,纳斯达克指数,2000-01-24,4235.4,4290.38,4303.15,4095.31,4096.08,1425796736,--,-139.32,-3.2894,
IXIC.GI,纳斯达克指数,2000-01-25,4096.08,4124.75,4167.63,4028.51,4167.41,1259030528,--,71.33,1.7414,
IXIC.GI,纳斯达克指数,2000-01-26,4167.41,4174.72,4174.72,4069.91,4069.91,1229321088,--,-97.5,-2.3396,
IXIC.GI,纳斯达克指数,2000-01-27,4069.91,4120.5,4140.09,3973.59,4039.56,1313395072,--,-30.35,-0.7457,
IXIC.GI,纳斯达克指数,2000-01-28,4039.56,4010.14,4048.31,3856.23,3887.07,1239118080,--,-152.49,-3.7749,
IXIC.GI,纳斯达克指数,2000-02-14,3887.07,3873.84,4435.96,4355.54,4418.55,1175095040,--,531.48,13.673,
IXIC.GI,纳斯达克指数,2000-02-15,4418.55,4415.52,4440.62,4291.1,4420.77,1258656128,--,2.22,0.0502,
IXIC.GI,纳斯达克指数,2000-02-16,4420.77,4427.19,4477.64,4413.66,4427.65,1345794048,--,6.88,0.1556,
IXIC.GI,纳斯达克指数,2000-02-17,4427.65,4483.01,4553.14,4444.75,4548.92,1504846720,--,121.27,2.7389,
IXIC.GI,纳斯达克指数,2000-02-18,4548.92,4563.72,4564.45,4404.61,4411.74,1416058112,--,-137.18,-3.0157,
IXIC.GI,纳斯达克指数,2000-02-22,4411.74,4432.83,4443.94,4291.01,4382.12,1328981376,--,-29.62,-0.6714,
IXIC.GI,纳斯达克指数,2000-02-23,4382.12,4406.88,4567.97,4401.38,4550.33,1372998272,--,168.21,3.8386,
IXIC.GI,纳斯达克指数,2000-02-24,4550.33,4583.89,4620.03,4495.2,4617.65,1479287936,--,67.32,1.4795,
IXIC.GI,纳斯达克指数,2000-02-25,4617.65,4618.83,4662.93,4576.19,4590.5,1414083328,--,-27.15,-0.588,
