代码,简称,日期,前收盘价,开盘价,最高价,最低价,收盘价,成交量(股),成交金额(元),涨跌,涨跌幅(%),
SPX.GI,标普500,2000-01-04,1469.25,1469.25,1455.22,1397.43,1399.42,1088000256,--,-69.83,-4.7528,
SPX.GI,标普500,2000-01-05,1399.42,1399.42,1413.27,1377.68,1402.11,1281538944,--,2.69,0.1922,
SPX.GI,标普500,2000-01-06,1402.11,1402.11,1411.9,1392.02,1403.45,1197224320,--,1.34,0.0956,
SPX.GI,标普500,2000-01-07,1403.45,1403.45,1441.47,1400.73,1441.47,1303269504,--,38.02,2.709,
SPX.GI,标普500,2000-01-10,1441.47,1441.47,1464.36,1441.47,1457.6,1118983936,--,16.13,1.119,
SPX.GI,标普500,2000-01-11,1457.6,1457.6,1458.66,1434.42,1438.56,1128259456,--,-19.04,-1.3063,
SPX.GI,标普500,2000-01-12,1438.56,1438.56,1442.6,1427.08,1432.25,1096179072,--,-6.31,-0.4386,
SPX.GI,标普500,2000-01-13,1432.25,1432.25,1454.2,1432.25,1449.68,1033687488,--,17.43,1.217,
SPX.GI,标普500,2000-01-14,1449.68,1449.68,1473,1449.68,1465.15,1174890624,--,15.47,1.0671,
SPX.GI,标普500,2000-01-18,1465.15,1465.15,1465.15,1451.3,1455.14,1075011840,--,-10.01,-0.6832,
SPX.GI,标普500,2000-01-19,1455.14,1455.14,1461.39,1448.68,1455.9,1096254464,--,0.76,0.0522,
SPX.GI,标普500,2000-01-20,1455.9,1455.9,1465.71,1438.54,1445.57,1121080064,--,-10.33,-0.7095,
SPX.GI,标普500,2000-01-21,1445.57,1445.57,1453.18,1439.6,1441.36,1223604992,--,-4.21,-0.2912,
SPX.GI,标普500,2000-01-24,1441.36,1441.36,1454.09,1395.42,1401.53,1101523968,--,-39.83,-2.7634,
SPX.GI,标普500,2000-01-25,1401.53,1401.53,1414.26,1388.49,1410.03,1135263232,--,8.5,0.6065,
SPX.GI,标普500,2000-01-26,1410.03,1410.03,1412.73,1400.16,1404.09,1140301952,--,-5.94,-0.4213,
SPX.GI,标普500,2000-01-27,1404.09,1404.09,1418.86,1380.71,1398.56,1213633408,--,-5.53,-0.3938,
SPX.GI,标普500,2000-01-28,1398.56,1398.56,1398.56,1356.2,1360.16,1132450944,--,-38.4,-2.7457,
SPX.GI,标普500,2000-02-14,1360.16,1360.16,1394.93,1380.53,1389.94,892793408,--,29.78,2.1894,
SPX.GI,标普500,2000-02-15,1389.94,1389.94,1407.72,1376.25,1402.05,1085689856,--,12.11,0.8713,
SPX.GI,标普500,2000-02-16,1402.05,1402.05,1404.55,1385.58,1387.67,992829312,--,-14.38,-1.0256,
SPX.GI,标普500,2000-02-17,1387.67,1387.67,1399.88,1380.07,1388.26,1077106304,--,0.59,0.0425,
SPX.GI,标普500,2000-02-18,1388.26,1388.26,1388.59,1345.32,1346.09,1116888192,--,-42.17,-3.0376,
SPX.GI,标普500,2000-02-22,1346.09,1346.09,1358.11,1331.88,1352.17,1012093696,--,6.08,0.4517,
SPX.GI,标普500,2000-02-23,1352.17,1352.17,1370.11,1342.44,1360.69,1074042496,--,8.52,0.6301,
SPX.GI,标普500,2000-02-24,1360.69,1360.69,1364.8,1329.88,1353.43,1287605632,--,-7.26,-0.5336,
SPX.GI,标普500,2000-02-25,1353.43,1353.43,1362.14,1329.15,1333.36,1108771584,--,-20.07,-1.4829,
SPX.GI,标普500,2000-02-28,1333.36,1333.36,1360.82,1325.02,1348.05,1136498944,--,14.69,1.1017,
SPX.GI,标普500,2000-02-29,1348.05,1348.05,1369.63,1348.05,1366.42,1166774912,--,18.37,1.3627,
SPX.GI,标普500,2000-03-01,1366.42,1366.42,1383.46,1366.42,1379.19,1305719168,--,12.77,0.9346,
SPX.GI,标普500,2000-03-02,1379.19,1379.19,1386.56,1370.35,1381.76,1278031232,--,2.57,0.1863,
SPX.GI,标普500,2000-03-03,1381.76,1381.76,1410.88,1381.76,1409.17,1214675712,--,27.41,1.9837,
SPX.GI,标普500,2000-03-06,1409.17,1409.17,1409.74,1384.75,1391.28,1042258432,--,-17.89,-1.2695,
SPX.GI,标普500,2000-03-07,1391.28,1391.28,1399.21,1349.99,1355.62,1298488576,--,-35.66,-2.5631,
SPX.GI,标普500,2000-03-08,1355.62,1355.62,1373.79,1346.62,1366.7,1198852864,--,11.08,0.8173,
SPX.GI,标普500,2000-03-09,1366.7,1366.7,1401.82,1357.59,1401.69,1191569664,--,34.99,2.5602,
SPX.GI,标普500,2000-03-10,1401.69,1401.69,1413.46,1392.07,1395.07,1217235200,--,-6.62,-0.4723,
SPX.GI,标普500,2000-03-13,1395.07,1395.07,1398.39,1364.84,1383.62,1083501824,--,-11.45,-0.8207,
SPX.GI,标普500,2000-03-14,1383.62,1383.62,1395.38,1359.15,1359.15,1194426624,--,-24.47,-1.7685,
SPX.GI,标普500,2000-03-15,1359.15,1359.15,1397.99,1356.99,1392.15,1396416256,--,33,2.428,
SPX.GI,标普500,2000-03-16,1392.15,1392.15,1458.47,1392.15,1458.47,1529220352,--,66.32,4.7639,
SPX.GI,标普500,2000-03-17,1458.47,1458.47,1477.33,1453.27,1464.47,1363429248,--,6,0.4114,
SPX.GI,标普500,2000-03-20,1464.47,1464.47,1470.3,1448.43,1456.63,969155904,--,-7.84,-0.5353,
SPX.GI,标普500,2000-03-21,1456.63,1456.63,1493.92,1446.06,1493.87,1120083584,--,37.24,2.5566,
SPX.GI,标普500,2000-03-22,1493.87,1493.87,1505.08,1487.33,1500.64,1115321088,--,6.77,0.4532,
SPX.GI,标普500,2000-03-23,1500.64,1500.64,1532.5,1492.39,1527.35,1202824320,--,26.71,1.7799,
SPX.GI,标普500,2000-03-24,1527.35,1527.35,1552.87,1516.83,1527.46,1126392960,--,0.11,0.0072,
SPX.GI,标普500,2000-03-27,1527.46,1527.46,1534.63,1518.46,1523.86,952781184,--,-3.6,-0.2357,
SPX.GI,标普500,2000-03-28,1523.86,1523.86,1527.36,1507.09,1507.73,1016457472,--,-16.13,-1.0585,
SPX.GI,标普500,2000-03-29,1507.73,1507.73,1521.45,1497.45,1508.52,1126453760,--,0.79,0.0524,
SPX.GI,标普500,2000-03-30,1508.52,1508.52,1517.38,1474.63,1487.92,1323012480,--,-20.6,-1.3656,
SPX.GI,标普500,2000-03-31,1487.92,1487.92,1519.81,1484.38,1498.58,1244560000,--,10.66,0.7164,
SPX.GI,标普500,2000-04-03,1498.58,1498.58,1507.19,1486.96,1505.97,1259458560,--,7.39,0.4931,
SPX.GI,标普500,2000-04-04,1505.97,1505.98,1526.45,1417.22,1494.73,1888367488,--,-11.24,-0.7464,
SPX.GI,标普500,2000-04-05,1494.73,1494.73,1506.55,1478.05,1487.37,1200959744,--,-7.36,-0.4924,
SPX.GI,标普500,2000-04-06,1487.37,1487.37,1511.76,1487.37,1501.34,1122694144,--,13.97,0.9392,
SPX.GI,标普500,2000-04-07,1501.34,1501.34,1518.68,1501.34,1516.35,964493696,--,15.01,0.9998,
SPX.GI,标普500,2000-04-10,1516.35,1516.35,1527.19,1503.35,1504.46,973344576,--,-11.89,-0.7841,
SPX.GI,标普500,2000-04-11,1504.46,1504.46,1512.8,1486.78,1500.59,1135259264,--,-3.87,-0.2572,
SPX.GI,标普500,2000-04-12,1500.59,1500.59,1509.1,1466.15,1467.17,1428111232,--,-33.42,-2.2271,
SPX.GI,标普500,2000-04-13,1467.17,1467.17,1477.52,1439.34,1440.51,1279369856,--,-26.66,-1.8171,
SPX.GI,标普500,2000-04-14,1440.51,1440.51,1440.51,1339.4,1356.56,1601260288,--,-83.95,-5.8278,
SPX.GI,标普500,2000-04-17,1356.56,1356.56,1401.53,1346.5,1401.44,1526506240,--,44.88,3.3084,
SPX.GI,标普500,2000-04-18,1401.44,1401.44,1441.61,1397.81,1441.61,1280536064,--,40.17,2.8663,
SPX.GI,标普500,2000-04-19,1441.61,1441.61,1447.69,1424.26,1427.47,1118805248,--,-14.14,-0.9808,
SPX.GI,标普500,2000-04-20,1427.47,1427.47,1435.49,1422.08,1434.54,945857024,--,7.07,0.4953,
SPX.GI,标普500,2000-04-24,1434.54,1434.54,1434.54,1407.13,1429.86,1153776384,--,-4.68,-0.3262,
SPX.GI,标普500,2000-04-25,1429.86,1429.86,1477.67,1429.86,1477.44,1185979008,--,47.58,3.3276,
SPX.GI,标普500,2000-04-26,1477.44,1477.44,1482.94,1456.98,1460.99,1096815360,--,-16.45,-1.1134,
SPX.GI,标普500,2000-04-27,1460.99,1460.99,1469.21,1434.81,1464.92,1130929152,--,3.93,0.269,
